Clinic Name,Address,"City, State, Zip",Phone,Borough
Sun River Health - Bay Street,57 Bay St,"Staten Island, NY 10301",855-681-8700,Staten Island
Community Health Center of Richmond,439 Port Richmond Ave,"Staten Island, NY 10302",917-830-0838,Staten Island
Metro Community Health Center - Staten Island,2324 Forest Ave,"Staten Island, NY 1030 3",718-447-0200,Staten Island
Community Health Center of Richmond Stapleton -,"St. George, 135 Canal St, Suite 200","Staten Island, NY 10304",917-830-1950,Staten Island
Staten Island University Hospital Northwell,475 Seaview Ave,"Staten Island, NY 10305",718-226-9080,Staten Island
161st Street Dental Clinic (Montefiore),"305 East 161st St, Lower Level","Bronx, NY 10451",718-579-2535,Bronx
BronxCare Ogden Family Medical & Dental,1067 Ogden Ave,,718-466-3222,Bronx
Sun River Health - Inwood,1543- 45 Inwood Ave,"Bronx, NY 10452",855-681-8700,Bronx
Morrisania Diagnostic and Treatment Center *,"1225 Gerard Ave, 3rd  Floor","Bronx, NY 10452",718-960-2911,Bronx
"BronxCare Dr. Martin Luther King, Jr. Health Center",1775 Grand Concourse,,718-901-8400,Bronx
Morris Heights Health Center at Burnside,85 West Burnside Ave,,718-716-4400,Bronx
Morris Heights Health Center at Walton Avenue,25 East 183rd St,,718-716-4400,Bronx
Union Community Health Center,2021 Grand Concourse,,718-960-6628,Bronx
Walton Family Health Practice Dental Department,"(The Institute for Family Health), 1894 Walton Ave, 2nd Floor","Bronx, NY 10453",718-583-2700,Bronx
Third Avenue Fa mily Health Center,2604 3rd Ave,,718-292-0100,Bronx
Adapt Community Network - 137th Street,408 East 137th St,,718-993-3458,Bronx
"BronxCare Dr. Martin Luther King, Jr. Health Center","1265 Franklin Ave, 3rd Floor","Bronx, NY 10456",718-992-7669,Bronx
Union Community Health Center Dental Services,2101 Quarry Rd,,718-960-6628,Bronx
BronxCare Medical & Dental at Poe,2432 Grand Concourse,,718-817-7920,Bronx
Union Community Health Center,260 East 188th St,"Bronx, NY 10458",718-960-9315,Bronx
951 Prospect Avenue Dental Clinic (Montefiore),951 Prospect Ave,,888-700-6623,Bronx
El Nuevo San Juan Community Health Center,"(Urban Health Plan), 1065 Southern Blvd","Bronx, NY 10459",718-589-2440,Bronx
Metro Community Health Center Bronx,979 Cross Bronx Expressway,"Bronx, NY 10460",718-665-7565,Bronx
Children’s Aid Society - Bronx Health Services,"910 East 172nd St, 3rd Floor","Bronx, NY 10460",347-767-2000,Bronx
Blondell Dental Clinic (Montefiore),"1575 Blondell Ave, Suite 150,, DENT AL CLINICS – BRONX,,, August 202 3","Bronx, NY 10461",718-405-8190,Bronx
Jarrett Pediatric Clinic (Montefiore),"1516 Jarrett Place, Lower Level, Suite 100","Bronx, NY 10461",718-405-8194,Bronx
Jacobi Medical Center Department of Dentistry,"1400 Pelham Pkwy South, Bldg 1, 3rd Floor","Bronx, NY 10461",718-918-7107,Bronx
